,word,frequency,character,season,order
7,would,7,Kevin,3,8
8,think,7,Kevin,3,9
9,party,6,Kevin,3,10
0,michael,16,Kevin,4,1
1,go,8,Kevin,4,2
2,jim,7,Kevin,4,3
3,gon,7,Kevin,4,4
4,back,7,Kevin,4,5
5,pizza,7,Kevin,4,6
6,get,6,Kevin,4,7
7,see,5,Kevin,4,8
8,bad,5,Kevin,4,9
9,take,5,Kevin,4,10
0,michael,14,Kevin,5,1
1,think,11,Kevin,5,2
2,would,8,Kevin,5,3
3,one,6,Kevin,5,4
4,want,6,Kevin,5,5
5,call,6,Kevin,5,6
6,cool,5,Kevin,5,7
7,god,5,Kevin,5,8
8,wait,5,Kevin,5,9
9,got,5,Kevin,5,10
0,michael,13,Kevin,6,1
1,think,11,Kevin,6,2
2,would,10,Kevin,6,3
3,jim,9,Kevin,6,4
4,oscar,9,Kevin,6,5
5,know,9,Kevin,6,6
6,want,8,Kevin,6,7
7,yes,8,Kevin,6,8
8,pam,7,Kevin,6,9
9,hi,7,Kevin,6,10
0,michael,12,Kevin,7,1
1,get,11,Kevin,7,2
2,know,11,Kevin,7,3
3,yes,9,Kevin,7,4
4,would,9,Kevin,7,5
5,got,8,Kevin,7,6
6,nice,8,Kevin,7,7
7,one,8,Kevin,7,8
8,could,7,Kevin,7,9
9,think,7,Kevin,7,10
0,know,14,Kevin,8,1
1,guys,13,Kevin,8,2
2,one,12,Kevin,8,3
3,think,11,Kevin,8,4
4,right,11,Kevin,8,5
5,warning,9,Kevin,8,6
6,good,9,Kevin,8,7
7,time,9,Kevin,8,8
8,man,9,Kevin,8,9
9,best,8,Kevin,8,10
0,yes,16,Kevin,9,1
1,one,15,Kevin,9,2
2,get,11,Kevin,9,3
3,oscar,11,Kevin,9,4
4,know,11,Kevin,9,5
5,go,10,Kevin,9,6
6,don���t,10,Kevin,9,7
7,right,8,Kevin,9,8
8,andy,8,Kevin,9,9
9,pam,8,Kevin,9,10
0,right,4,Meredith,1,1
1,michael,3,Meredith,1,2
2,vagina,3,Meredith,1,3
3,yes,3,Meredith,1,4
4,'meredith,3,Meredith,1,5
5,still,2,Meredith,1,6
6,ca,2,Meredith,1,7
7,happy,2,Meredith,1,8
8,let,2,Meredith,1,9
9,hope,2,Meredith,1,10
0,wow,4,Meredith,2,1
1,take,3,Meredith,2,2
2,last,2,Meredith,2,3
3,damn,2,Meredith,2,4
4,drink,2,Meredith,2,5
5,please,2,Meredith,2,6
6,week,2,Meredith,2,7
7,thanks,2,Meredith,2,8
8,'ve,2,Meredith,2,9
9,right,2,Meredith,2,10
0,get,7,Meredith,3,1
1,want,5,Meredith,3,2
2,know,4,Meredith,3,3
3,yes,3,Meredith,3,4
4,wedding,3,Meredith,3,5
5,ahh,3,Meredith,3,6
6,roy,3,Meredith,3,7
7,pull,3,Meredith,3,8
8,little,2,Meredith,3,9
9,way,2,Meredith,3,10
0,guys,3,Meredith,4,1
1,michael,3,Meredith,4,2
2,get,3,Meredith,4,3
3,one,3,Meredith,4,4
4,time,2,Meredith,4,5
5,weird,2,Meredith,4,6
6,nurse,2,Meredith,4,7
7,thanks,2,Meredith,4,8
8,lot,2,Meredith,4,9
9,see,2,Meredith,4,10
0,way,15,Meredith,5,1
1,wait,12,Meredith,5,2
2,minute,10,Meredith,5,3
3,know,8,Meredith,5,4
4,got,6,Meredith,5,5
5,something,5,Meredith,5,6
6,going,5,Meredith,5,7
7,nothing,4,Meredith,5,8
8,kid,4,Meredith,5,9
9,god,4,Meredith,5,10
0,get,6,Meredith,6,1
1,tell,4,Meredith,6,2
2,gon,3,Meredith,6,3
3,day,3,Meredith,6,4
4,right,3,Meredith,6,5
5,want,3,Meredith,6,6
6,us,3,Meredith,6,7
7,taking,3,Meredith,6,8
8,thing,3,Meredith,6,9
9,room,3,Meredith,6,10
0,wait,7,Meredith,7,1
1,know,6,Meredith,7,2
2,man,5,Meredith,7,3
3,real,5,Meredith,7,4
4,got,4,Meredith,7,5
5,us,3,Meredith,7,6
6,manuel,3,Meredith,7,7
7,wow,3,Meredith,7,8
8,guy,3,Meredith,7,9
9,tell,3,Meredith,7,10
0,got,5,Meredith,8,1
1,one,5,Meredith,8,2
2,get,5,Meredith,8,3
3,coming,5,Meredith,8,4
4,right,4,Meredith,8,5
5,people,3,Meredith,8,6
6,take,3,Meredith,8,7
7,put,3,Meredith,8,8
8,ta,3,Meredith,8,9
9,go,3,Meredith,8,10
0,one,10,Meredith,9,1
1,get,8,Meredith,9,2
2,take,7,Meredith,9,3
3,good,7,Meredith,9,4
4,right,7,Meredith,9,5
5,got,7,Meredith,9,6
6,let,6,Meredith,9,7
7,come,5,Meredith,9,8
8,go,5,Meredith,9,9
9,ah,5,Meredith,9,10
0,think,5,Angela,1,1
1,kevin,4,Angela,1,2
2,gon,2,Angela,1,3
3,oscar,2,Angela,1,4
4,stapler,2,Angela,1,5
5,one,2,Angela,1,6
6,phyllis,2,Angela,1,7
7,safety,2,Angela,1,8
8,officer,2,Angela,1,9
9,gray,2,Angela,1,10
0,go,10,Angela,2,1
1,know,9,Angela,2,2
2,think,8,Angela,2,3
3,yes,7,Angela,2,4
4,things,7,Angela,2,5
5,get,6,Angela,2,6
6,one,6,Angela,2,7
7,people,5,Angela,2,8
8,talk,5,Angela,2,9
9,yet,5,Angela,2,10
0,pum,23,Angela,3,1
